AGLHAL,-33.348651999999902 138.75165900000002,'Hallett' = 'Hallett'
AGLNOW1,-34.881977999999947 150.55148500000007,manual location
AGLSOM,-37.631821999999943 144.95307700000001,'Somerton' = 'Somerton'
AMCORGR,-34.550856999999951 138.76586400000008,manual location
ANGAS1,-34.503479999999911 139.02453700000001,'Angaston' = 'Angaston'
ANGAS2,-34.503479999999911 139.02453700000001,'Angaston' = 'Angaston'
AWABAREF,-33.025029999999958 151.5497190000001,'Awaba' = 'Awaba'
BALDHWF1,-38.7908 145.9277,manual location
BANKSPT1,-33.919699597999909 151.03324363800004,'Bankstown Sports Club Units' = 'Bankstown Sports Club'
BAPS,-36.534208999999919 147.45942600000001,'Banimboola' = 'Banimboola'
BARCALDN,-23.552451999999903 145.31418600000006,manual location
BARRON-1,-16.850198999999918 145.64649500000007,'Barron Gorge' = 'Barron Gorge'
BARRON-2,-16.850198999999918 145.64649500000007,'Barron Gorge' = 'Barron Gorge'
BASTYAN,-41.735982999999919 145.5321120000001,'Bastyan' = 'Bastyan'
BBASEHOS,-37.559606999999914 143.84691800000007,'Ballarat Base Hospital' = 'Ballarat Base Hospital'
BBTHREE1,-41.141944 146.9025,manual location
BBTHREE2,-41.141944 146.9025,manual location
BBTHREE3,-41.141944 146.9025,manual location
BDL01,-37.842858999999919 147.56393000000003,'Bairnsdale' = 'Bairnsdale'
BDL02,-37.842858999999919 147.56393000000003,'Bairnsdale' = 'Bairnsdale'
BDONGHYD,-32.66461599999991 149.1079860000001,'Burrendong' = 'Burrendong'
BLNKTAS,-41.042222 146.868611,manual location
BLNKVIC,-38.406111 147.068333,manual location
BLOWERNG,-35.398600999999928 148.24627200000009,'Blowering' = 'Blowering'
BLUFF1,-33.369330999999931 138.98247600000002,manual location
BLULAKE1,-36.316432793999923 140.75746191900009,'Blue Lake Milling' = 'Blue Lake Milling'
BOCORWF1,-36.577 149.124,manual location
BOLIVAR1,-34.76995 138.58315,manual location
BPLANDF1,-27.672130999999922 153.06634600000007,'Browns Plains Land Fill' = 'Browns Plains'
BRAEMAR1,-27.110933999999929 150.90533700000003,'Braemar' = 'Braemar 1'
BRAEMAR2,-27.110933999999929 150.90533700000003,'Braemar' = 'Braemar 1'
BRAEMAR3,-27.110933999999929 150.90533700000003,'Braemar' = 'Braemar 1'
BRAEMAR5,-27.112811267999916 150.90487826100002,'Braemar 2' = 'Braemar 2'
BRAEMAR6,-27.112811267999916 150.90487826100002,'Braemar 2' = 'Braemar 2'
BRAEMAR7,-27.112811267999916 150.90487826100002,'Braemar 2' = 'Braemar 2'
BROADMDW,-37.687785999999903 144.966319,'Broadmeadows' = 'Broadmeadows'
BROKENH1,-31.9887 141.3846,manual location
BROOKLYN,-37.817966999999953 144.83187600000008,'Brooklyn' = 'Brooklyn'
BROWNMT,-36.595144999999945 149.474107,'Brown Mountain' = 'Brown Mountain'
BURRIN,-35.002519999999947 148.583393,'Burrinjuck' = 'Burrinjuck'
BUTLERSG,-42.266897999999912 146.2617580000001,'Butlers Gorge' = 'Butlers Gorge'
BW01,-32.395269999999925 150.94913000000008,'Bayswater' = 'Bayswater'
BW02,-32.395269999999925 150.94913000000008,'Bayswater' = 'Bayswater'
BW03,-32.395269999999925 150.94913000000008,'Bayswater' = 'Bayswater'
BW04,-32.395269999999925 150.94913000000008,'Bayswater' = 'Bayswater'
BWTR1,-29.011827999999923 153.43348100000003,'Broadwater Units 1 and 2' = 'Broadwater'
CALL_A_4,-24.33402499999994 150.627973,'Callide A' = 'Callide A'
CALL_B_1,-24.344879999999932 150.61974900000007,'Callide B' = 'Callide B'
CALL_B_2,-24.344879999999932 150.61974900000007,'Callide B' = 'Callide B'
CAPTL_WF,-35.166030620999948 149.51856862600005,'Capital' = 'Capital'
CATHROCK,-34.850860999999952 135.58517200000006,'Cathedral Rocks' = 'Cathedral Rocks'
CESF1,-35.2018 149.5083,manual location
CETHANA,-41.480236999999931 146.13484900000003,'Cethana' = 'Cethana'
CG1,-33.209868999999912 151.54478500000005,'Colongra' = 'Colongra'
CG2,-33.209868999999912 151.54478500000005,'Colongra' = 'Colongra'
CG3,-33.209868999999912 151.54478500000005,'Colongra' = 'Colongra'
CG4,-33.209868999999912 151.54478500000005,'Colongra' = 'Colongra'
CLAYTON,-37.950199999999938 145.11872200000005,'Claytons' = 'Clayton'
CLEMGPWF,-33.498466999999948 138.11329000000001,'Clements Gap' = 'Clements Gap'
CLUNY,-42.506422999999927 146.68116200000009,'Cluny' = 'Cluny'
CONDONG1,-28.313801999999953 153.43411000000003,manual location
COPTNHYD,-29.910197999999923 150.92346200000009,'Copeton' = 'Copeton'
CORIO1,-38.058658876999914 144.40557568700001,'Corio' = 'Corio'
CPP_3,-24.33402499999994 150.627973,'Callide' = 'Callide A'
CPP_4,-24.33402499999994 150.627973,'Callide' = 'Callide A'
CPSA,-26.668222211999932 150.27001446500003,'Condamine A' = 'Condamine A'
CULLRGWF,-34.818418999999949 149.39603800000009,'Cullerin Range' = 'Cullerin Range'
DAANDINE,-27.085201572999949 150.93908674600004,'Daandine' = 'Daandine'
DARTM1,-36.556428999999923 147.52058,manual location
DDPS1,-27.116891412999905 150.89421701800006,'Darling Downs' = 'Darling Downs'
DEVILS_G,-41.350466999999924 146.26316700000007,'Devils Gate' = 'Devils Gate'
DRYCGT1,-34.847462999999948 138.58175800000004,'Dry Creek' = 'Dry Creek'
DRYCGT2,-34.847462999999948 138.58175800000004,'Dry Creek' = 'Dry Creek'
DRYCGT3,-34.847462999999948 138.58175800000004,'Dry Creek' = 'Dry Creek'
EASTCRK,-33.814156999999909 150.853702,'Eastern Creek' = 'Eastern Creek'
EDLRGNRD,-27.338767999999959 153.03435000000002,'Roghan Road LFG' = 'Roghan Road'
EILDON1,-37.222004999999911 145.92145200000004,'Eildon' = 'Eildon'
EILDON2,-37.222004999999911 145.92145200000004,'Eildon' = 'Eildon'
EILDON3,-37.222004999999911 145.92145200000004,'Eildon Pondage' = 'Eildon'
ER01,-33.061748752999904 151.52233006800009,'Eraring' = 'Eraring'
ER02,-33.061748752999904 151.52233006800009,'Eraring' = 'Eraring'
ER03,-33.061748752999904 151.52233006800009,'Eraring' = 'Eraring'
ER04,-33.061748752999904 151.52233006800009,'Eraring' = 'Eraring'
ERGT01,-33.061748752999904 151.52233006800009,'Eraring' = 'Eraring'
FISHER,-41.673239999999907 146.26851800000009,'Fisher' = 'Fisher'
GB01,-31.986295999999925 141.42033400000003,'Broken Hills' = 'Broken Hill'
GERMCRK,-22.92814699999991 148.55149700000004,'German Creek' = 'German Creek'
GLBWNHYD,-32.109660999999903 150.998154,'Glenbawn' = 'Glenbawn'
